Apelido;Nom de famille
Data / local de nascimento;Date/lieu de naissance
Idade;Age
Morada;Adresse
Nome;Prénom
Cadaso(a);Marié(e)
Marido;Mari
Mulher;Femme
Namorado(a);Amoureux(se)
Solteiro(a);Célibataire
Profissão / profissöes;Métier(s)
Enfermeiro(a);Infirmier(e)
Estudante;Etudiant
A minha nacionalidade;Ma nationalité
A tua nacionalidade;Ta nationalité
A sua nacionalidade;Sa/votre nationalité
Argelino(a);Algérien(e)
Alemão / alemã;Allemand(e)
Angolano(a);Angolais(e)
Belga;Belge
Brasileiro(a);Brésilien(ne)
Cabo-verdiano(a);Cap-verdien(e)
Espanhol/espanhola;Espagnol(e)
Francês / Francesa;Français(e)
Inglês / Inglesa;Anglais(e)
Italiano(a);Italien(ne)
Japonês / Japonesa;Japonais(e)
Moçambicano(a);Mozanbicain(e)
Português / Portuguesa;Portugais(e)
Suiço(a);Suisse
Timorense;Timorais(e)
