Barba;Barbe
Bigote;Moustache
Cara;Visage
Cabelo (s);Cheveu (x)
Dentes;Dents
Nariz;Nez
Olhos;Yeux
Orelhas;Oreilles
Alto/Grande;Grand
Baixo/Pequeno;Petit
Magro;Mince/Maigre
Gordo;Gros
Bonito;Beau
Feio;Moche
Jovem;Jeune
Velho;Vieux
Comprido;Long
Curto;Court
Encaracolado;Bouclé
Liso;Lisse
Castanho;Châtain/brun
Loiro;Blond
Ruivo;Roux
Usar roupa;Porter des vêtements
Morale;
Arrogante;Arrogant
Calado;Silencieux
Desorganizado;Désorganisé
Estúpido;Stupide
Falador;Bavard
Humilde;Humble
Inteligente;Intelligent
Organizado;Organisé
Preguiçoso;Paresseux
Sério;Sérieux
Sociável;Sociable
Tímido;Timide
Trabalhador;Travailleur
