Andar de bicicleta,Faire du vélo,Activité
Cantar,Chanter,Activité
Dançar,Danser,Activité
Desenhar,Dessiner,Activité
Ler,Lire,Activité
Passear,Se promener,Activité
Praticar desporto,Faire du sport,Activité
Ver televisão,Regarder la télé,Activité
Brincar,Jouer/s'amuser,Activité
Jogar futebol,Jouer au foot,Activité
Tocar guitara,Jouer de Ia guitare,Activité
Tocar piano,Jouer du piano,Activité
Arrogante,Arrogant,Adjectif
Calado,Silencieux,Adjectif
Desorganizado,Désorganisé,Adjectif
Estúpido,Stupide,Adjectif
Falador,Bavard,Adjectif
Humilde,Humble,Adjectif
Inteligente,Intelligent,Adjectif
Organizado,Organisé,Adjectif
Preguiçoso,Paresseux,Adjectif
Sério,Sérieux,Adjectif
Sociável,Sociable,Adjectif
Tímido,Timide,Adjectif
Trabalhador,Travailleur,Adjectif
Estrela,Étoile,Astronomie
Planeta,Planète,Astronomie
Universo,Univers,Astronomie
Constelação,Constellation,Astronomie
Sistema,Système,Astronomie
Sol,Soleil,Astronomie
Lua,Lune,Astronomie
Astronomia,Astronomie,Astronomie
Telescópio,Téléscope,Astronomie
Satélite,Satellite,Astronomie
Foguete,Fusée,Astronomie
Telescópio,Téléscope,Astronomie
Astonauta,Astronaute,Astronomie
Meteorito,Météorite,Astronomie
Asteróide,Astéroïde,Astronomie
Comprar,Acheter,Banques de mots
Estudar,Étudier,Banques de mots
Interessar-se,S’intéresser,Banques de mots
Morar,Habiter,Banques de mots
Trabalhar,Travailler,Banques de mots
Sim,Oui,Banques de mots
Não,Non,Banques de mots
Mas,Plus,Banques de mots
Muito,"Très, beaucoup",Banques de mots
Também,Aussi,Banques de mots
Um pouco,Un peu,Banques de mots
Levantar-se,Se lever,Banques de mots
Passar-se,Se passer,Banques de mots
Situar-se,Se situer,Banques de mots
Lembrar-se,se rappeler,Banques de mots
Chuvar,Pleuvoir,Banques de mots
Morar,Habiter,Banques de mots
Sede,Soif,Banques de mots
Ou seja,Ou plutôt,Banques de mots
Jeito,Chemin,Banques de mots
Barba,Barbe,Corps Humain
Bigote,Moustache,Corps Humain
Cara,Visage,Corps Humain
Cabelos,Cheveux,Corps Humain
Dentes,Dents,Corps Humain
Nariz,Nez,Corps Humain
Olhos,Yeux,Corps Humain
Orelhas,Oreilles,Corps Humain
Alto/Grande,Grand,Corps Humain
Baixo/Pequeno,Petit,Corps Humain
Magro,Mince/Maigre,Corps Humain
Gordo,Gros,Corps Humain
Bonito,Beau,Corps Humain
Feio,Moche,Corps Humain
Jovem,Jeune,Corps Humain
Velho,Vieux,Corps Humain
Comprido,Long,Corps Humain
Curto,Court,Corps Humain
Encaracolado,Bouclé,Corps Humain
Liso,Lisse,Corps Humain
Castanho,Châtain/brun,Corps Humain
Loiro,Blond,Corps Humain
Ruivo,Roux,Corps Humain
Corps,Corpo,Corps Humain
Cabeça,Tête,Corps Humain
Pescoço,Cou,Corps Humain
Ombro,Épaule,Corps Humain
Costas,Derrière,Corps Humain
Braço,Bras,Corps Humain
Axila,Aiselle,Corps Humain
Peito,Poitrine,Corps Humain
Cotovelo,Coude,Corps Humain
Barriga,Ventre,Corps Humain
Cintura,Taille,Corps Humain
Nádega,Fesses,Corps Humain
Perna,Jambe,Corps Humain
Quadril,Hanche,Corps Humain
Joelho,Genou,Corps Humain
Pé,Pied,Corps Humain
Segunda-feira,Lundi,Date
Terça-feira,Mardi,Date
Quarta-feira,Mercredi,Date
Quinta-feira,Jeudi,Date
Sexta-feira,Vendredi,Date
Sábado,Samedi,Date
Domingo,Dimanche,Date
Janeiro,Janvier,Date
Fevereiro,Février,Date
Marzo,Mars,Date
Abril,Avril,Date
Maio,Mai,Date
Junho,Juin,Date
Julho,Juillet,Date
Agosto,Août,Date
Setembro,Septembre,Date
Outubro,Octobre,Date
Novembro,Novembre,Date
Dezembro,Décembre,Date
Grand-père,Avô,Famille
Grand-mère,Avó,Famille
Grands-parents,Avós,Famille
Cunhado,Beau-frère,Famille
Cunhada,Belle-soeur,Famille
Filho,Fils,Famille
Filha,Fille,Famille
Filhos,Enfants,Famille
Genro,Gendre,Famille
Nora,Belle-fille,Famille
Irmão,Frère,Famille
Irma,Soeur,Famille
Irmãos,Frères et sœurs,Famille
Neto,Petit-fils,Famille
Neta,Petite-fille,Famille
Netos,Petits-enfants,Famille
Pai,Père,Famille
Mãe,Mère,Famille
Pais,Parents,Famille
Primo,Cousin,Famille
Prima,Cousine,Famille
Sobrinho,Neveu,Famille
Sobrinha,Nièce,Famille
Sogro,Beau-père,Famille
Sogra,Belle-mère,Famille
Tio,Oncle,Famille
Tia,Tante,Famille
Aborrecido,Contrarié,Humeur
Animado,Enjoué,Humeur
Apaixanado,Amoureux,Humeur
Calmo,Calme,Humeur
Cansado,Fatigué,Humeur
Concentrado,Concentré,Humeur
Contente,Content,Humeur
Doente,Malade,Humeur
Feliz,Heureux,Humeur
Limpo,Propre,Humeur
Quente,Chaud,Humeur
Zangado,Fâché,Humeur
Satisfeito,Satisfait,Humeur
Desanimado,Découragé,Humeur
Indiferente,Indifferent,Humeur
Nervoso,Nerveux,Humeur
Descansado,Reposé,Humeur
Distraido,Distrait,Humeur
Triste,Triste,Humeur
Saudavel,En bonne santé,Humeur
Infeliz,Malheureux,Humeur
Sujo,Sale,Humeur
Frio,Froid,Humeur
Alegre,Joyeux,Humeur
Apelido,Nom de famille,Identité
Data de nascimento,Date de naissance,Identité
Local de nascimento,Lieu de naissance,Identité
Idade,Age,Identité
Morada,Adresse,Identité
Nome,Prénom,Identité
Cadaso,Marié,Identité
Casada,Mariée,Identité
Marido,Mari,Identité
Mulher,Femme,Identité
Namorado,Amoureux,Identité
Namorada,Amoureuse,Identité
Solteiro(a),Célibataire,Identité
Agricultor,Agriculteur,Métiers
Arquiteto,Architecte,Métiers
Advogado,Avocat,Métiers
Bombeiro,Pompier,Métiers
Cantor,Chanteur,Métiers
Comerciante,Commerçant,Métiers
Cozinheiro,Cuisinier,Métiers
Empregado de mesa,Serveur,Métiers
Enfermeiro,Infirmier,Métiers
Engenheiro,Ingénieur,Métiers
Escritor,Ecrivain,Métiers
Estilista,Styliste,Métiers
Estudante,Étudiant,Métiers
Fotógrafo,Photographe,Métiers
Futebolista,Footballeur,Métiers
Jornalista,Journaliste,Métiers
Mecânico,Mécanicien,Métiers
Médico,Médecin,Métiers
Padeiro,Boulanger,Métiers
Pintor,Peintre,Métiers
Pianista,Pianiste,Métiers
Polícia,Policier,Métiers
Professor,Professeur,Métiers
Secretário,Secrétaire,Métiers
Vendedor,Vendeur,Métiers
Profissão,Métier,Métiers
Profissöes,Métiers,Métiers
Enfermeiro,Infirmier,Métiers
Enfermeira,Infirmière,Métiers
Estudante,Étudiant,Métiers
Alemão,Allemand,Nationalité
Alemã,Allemande,Nationalité
Belga,Belge,Nationalité
Brasileiro,Brésilien,Nationalité
Brasileira,Brésilienne,Nationalité
Espanhol,Espagnol,Nationalité
Espanhola,Espagnole,Nationalité
Francês,Français,Nationalité
Francesa,Française,Nationalité
Inglês,Anglais,Nationalité
Inglesa,Anglaise,Nationalité
Italiano,Italien,Nationalité
Italiana,Italienne,Nationalité
Japonês,Japonais,Nationalité
Japonesa,Japonaise,Nationalité
Português,Portugais,Nationalité
Portuguesa,Portugaise,Nationalité
Suiço,Suisse,Nationalité
Suiça,Suisse,Nationalité
Primeiro,Premier,Nombres Ordinaux
Segundo,Deuxième,Nombres Ordinaux
Terceiro,Troisième,Nombres Ordinaux
Quarto,Quatrième,Nombres Ordinaux
Quinto,Cinquième,Nombres Ordinaux
Sexto,Sixième,Nombres Ordinaux
Sétimo,Septième,Nombres Ordinaux
Oitavo,Huitième,Nombres Ordinaux
Nono,Neuvième,Nombres Ordinaux
Décimo,Dixième,Nombres Ordinaux
À direita,À droite,Orientation
À esquerda,À gauche,Orientation
Ao lado de,À coté de,Orientation
Ao pé de,Au pied de,Orientation
Atrás,Derrière,Orientation
Debaixo,En dessous de / Sous,Orientation
Dentro,A l'intérieur,Orientation
Em frente de / Diante de,Devant,Orientation
Em cima de,Au dessus de,Orientation
Entre,Entre,Orientation
Fora de,En dehors de,Orientation
Longe de,Loin de,Orientation
Perto de,Près de,Orientation
Cedo,Tôt,Temps
Tarde,Tard,Temps
Noite,Nuit,Temps
Dia,Jour,Temps
Encolorado,Ensoleillé,Temps
Chuva,Pluie,Temps
Neve,Neige,Temps
Carro,Voiture,Transport
Moto,Moto,Transport
Autocarro,Bus,Transport
Bicicleta,Vélo,Transport
Trote,Trotinette,Transport
Skate,Skateboard,Transport
Táxi,Taxi,Transport
Avião,Avion,Transport
Comboio,Train,Transport
Metro,Métro,Transport
Barco,Bâteau,Transport
Camião,Camion,Transport
Autocaravana,Camping-car,Transport
Estrada,Route,Transport
Autoestrada,Autoroute,Transport
Caminho,Chemin,Transport
Comprar,Acheter,Verbe
Estudar,Etudier,Verbe
Interessar-se,S’intéresser,Verbe
Morar,Habiter,Verbe
Trabalhar,Travailler,Verbe
Ser,Être,Verbe
Ter,Avoir,Verbe
Tomar,Prendre,Verbe
Procurar,Rechercher,Verbe
Lembrar-se,Se rappeler,Verbe
Ir,Aller,Verbe
Ver,Voir,Verbe
Vir,Venir,Verbe
Vestir-se,S'habiller,Verbe
Comprar,Acheter,Verbe
Vender,Vendre,Verbe
Ter,Avoir,Verbe
Falar,Parler,Verbe
Discutir,Discuter,Verbe
Mexer-se,Se bouger,Verbe
Poder,Pouvoir,Verbe
Calar-se,Se taire,Verbe
Situar-se,Se situer,Verbe
Levantar-se,Se lever,Verbe
Passar-se,Se passer,Verbe
Trazer,Amener,Verbe
Mudar,Changer,Verbe
Sofrer,Souffrir,Verbe
Gostar,Aimer,Verbe
Abrir,Ouvrir,Verbe
Chamar,Appeler,Verbe
Escrivir,Écrire,Verbe
Leer,Lire,Verbe
Chegar,Arriver,Verbe
Encomendar,Commander,Verbe
Pedir,Demander,Verbe
Beber,Boire,Verbe
Camise,Chemise,Vêtements
Camiseta,T-shirt,Vêtements
Calças,Pantalon,Vêtements
Meias,Chaussettes,Vêtements
Sapatos,Chaussures,Vêtements
Boné,Casquette,Vêtements
Gorro,Bonnet,Vêtements
Casaco,Manteau,Vêtements
Relógio,Montre,Vêtements
Pulseira,Bracelet,Vêtements
Joias,Bijoux,Vêtements
Anéis,Bagues,Vêtements
Cinto,Ceinture,Vêtements
Cueca,Caleçon,Vêtements
Óculos,Lunettes,Vêtements
